Member ID,Book ID,Reservation date,Checkout Date,Return Date
1984,18,,08/07/2022,06/08/2022
1985,12,,03/05/2022,25/12/2022
1986,2,,03/08/2022,25/08/2022
1987,14,,05/12/2022,14/12/2022
1988,7,,11/03/2022,30/09/2022
1989,14,,14/11/2022,01/12/2022
1990,3,,30/05/2022,05/08/2022
1991,3,,28/04/2022,05/11/2022
1992,11,,01/07/2022,10/08/2022
1993,1,,06/12/2022,01/01/2023
1994,10,,02/09/2022,09/10/2022
1995,18,,17/04/2022,27/08/2022
1996,12,,08/07/2022,28/11/2022
1997,8,,08/02/2022,06/08/2022
1998,6,,18/12/2022,23/12/2022
1999,4,,13/04/2022,29/08/2022
2000,20,,03/04/2022,10/06/2022
2001,12,,18/04/2022,24/08/2022
2002,19,,26/05/2022,11/11/2022
2003,16,,24/10/2022,29/12/2022
2004,2,,15/02/2022,23/07/2022
2005,18,,09/06/2022,09/06/2022
2006,20,,19/03/2022,26/03/2022
2007,16,,10/02/2022,12/06/2022
2008,1,,24/08/2022,24/10/2022
2009,12,,29/05/2022,21/12/2022
2010,11,,15/10/2022,17/11/2022
2011,4,,24/12/2022,27/12/2022
2012,1,,27/09/2022,11/12/2022
2013,12,,22/08/2022,07/12/2022
2014,14,,26/04/2022,08/05/2022
2015,17,,06/01/2022,27/01/2022
2016,6,,08/02/2022,03/11/2022
2017,6,,19/09/2022,25/12/2022
2018,3,,16/02/2022,06/10/2022
2019,11,,30/05/2022,03/07/2022
2020,4,,28/10/2022,17/11/2022
2021,14,,03/10/2022,08/10/2022
2022,13,,02/07/2022,18/09/2022
2023,17,,02/03/2022,28/11/2022
2024,18,,02/07/2022,11/12/2022
2025,18,,05/02/2022,12/11/2022
2026,11,,05/01/2022,22/05/2022
2027,19,,13/08/2022,30/11/2022
2028,12,,05/11/2022,08/11/2022
2029,9,,06/10/2022,08/11/2022
2030,10,,02/08/2022,14/10/2022
2031,1,,05/07/2022,29/12/2022
2032,19,,27/12/2022,01/01/2023
2033,17,,01/03/2022,11/10/2022
2034,18,,12/03/2022,05/07/2022
2035,9,,25/02/2022,17/12/2022
2036,15,,28/10/2022,29/10/2022
2037,1,,15/07/2022,04/09/2022
2038,2,,05/04/2022,13/06/2022
2039,13,,25/01/2022,18/07/2022
2040,9,,02/02/2022,03/11/2022
2041,8,,18/05/2022,22/06/2022
1443,12,,10/12/22,10/12/22
1234,14,,10/12/22,10/12/22
1773,4,,11/12/22,11/12/22
1745,3,,11/12/22,None
